"call_detail_id","tenant_id","call_record_id","text","start_offset","end_offset","type","debug_log","robot_knowledge_id","dialog_flow_node_id","intent_branch_id","creation_time","last_modified_time"
"85","1","7","喂，您好, （停顿2s），您好，想问下您位于钱塘江边、奥体中心附近，均价只要20000的现房楼盘，有兴趣了解一下吗？","","","2","","","156","","2018-08-09 00:36:07","2018-08-09 00:36:07"
"86","1","7","喂","890","1845","1","用户说的话: 喂 为噪音，已经被过滤","","156","","2018-08-09 00:36:07","2018-08-09 00:36:07"
"87","1","7","奥体中心，哪里啊，杭州的北京的状态呢？","8950","12635","1","默认分支","","156","","2018-08-09 00:36:07","2018-08-09 00:36:07"
"88","1","7","我们项目名称叫奥体公馆，位于钱塘江边，离奥体中心1公里的位置，那这边大概位置您知道吗？","","","2","","","161","","2018-08-09 00:36:07","2018-08-09 00:36:07"
"89","1","7","没有","17280","17945","1","检测到关键词：没有，命中分支：否定","","161","3","2018-08-09 00:36:07","2018-08-09 00:36:07"
"90","1","7","那奥体中心您知道吗？这里在奥体中心西南方向的位置。","","","2","","","163","","2018-08-09 00:36:07","2018-08-09 00:36:07"
"91","1","7","我不知道","21540","22645","1","检测到关键词：不知道，命中分支：否定","","163","3","2018-08-09 00:36:07","2018-08-09 00:36:07"
"92","1","7","要不这样，待会我给你发个短信，把地址发送给你，您可以先了解下，感兴趣的话也可以带您实际考察的","","","2","","","163","","2018-08-09 00:36:07","2018-08-09 00:36:07"
"93","1","7","目前主推户型有89方，125方的，户型都是坐北朝南，南北通透，稍高楼层可俯视江景，一梯两户，均价只要20000，距离杭州主城区只有20分钟车程，交通非常方便，您买来投资或者自己住都很不错。 ","","","2","","","168","","2018-08-09 00:36:07","2018-08-09 00:36:07"
"94","1","7","啊，算了算了，不需要","34010","35595","1","检测到关键词：不需要，命中分支：不买房","","168","20","2018-08-09 00:36:07","2018-08-09 00:36:07"
"95","1","7","这样啊，那也没关系，我待会给您发条短信，把楼盘信息发给您，如果后续有兴趣可以直接联系我，那就先不打扰了，祝您生活愉快，再见","","","2","","","169","","2018-08-09 00:36:07","2018-08-09 00:36:07"
"96","1","8","喂，您好, （停顿2s），您好，想问下您位于钱塘江边、奥体中心附近，均价只要20000的现房楼盘，有兴趣了解一下吗？","","","2","","","156","","2018-08-09 00:36:08","2018-08-09 00:36:08"
"97","1","8","诶能小","5900","7105","1","机器人正在放音，当前节点不可打断","","156","","2018-08-09 00:36:08","2018-08-09 00:36:08"
"98","1","8","红包、红包怎办？","10990","12325","1","默认分支","","156","","2018-08-09 00:36:08","2018-08-09 00:36:08"
"99","1","8","我们项目名称叫奥体公馆，位于钱塘江边，离奥体中心1公里的位置，那这边大概位置您知道吗？","","","2","","","161","","2018-08-09 00:36:08","2018-08-09 00:36:08"
"100","1","8","我操你妈的","16320","17665","1","检测到关键词：操你，命中知识库：骂人","22","161","","2018-08-09 00:36:08","2018-08-09 00:36:08"
"101","1","8","抱歉，这边先不打扰您了，再见！","","","2","","","161","","2018-08-09 00:36:08","2018-08-09 00:36:08"
"102","1","9","喂，您好, （停顿2s），您好，想问下您位于钱塘江边、奥体中心附近，均价只要20000的现房楼盘，有兴趣了解一下吗？","","","2","","","156","","2018-08-09 00:36:20","2018-08-09 00:36:20"
"103","1","9","4","710","2235","1","用户说的话: 4 为噪音，已经被过滤","","156","","2018-08-09 00:36:20","2018-08-09 00:36:20"
"104","1","9","喂喂","2710","4335","1","用户说的话: 喂喂 为噪音，已经被过滤","","156","","2018-08-09 00:36:20","2018-08-09 00:36:20"
"105","1","9","啊","10680","11465","1","用户说的话: 啊 为噪音，已经被过滤","","156","","2018-08-09 00:36:20","2018-08-09 00:36:20"
"106","1","9","嗯，行，谢谢，听不到我，我感觉你在好好听不清楚啊","12200","19785","1","检测到关键词：不.*清楚，命中分支：否定","","156","3","2018-08-09 00:36:20","2018-08-09 00:36:20"
"107","1","9","买不买没关系的，可以先了解一下嘛，我们项目在钱塘江边，环境啊交通啊都很好，自己住和投资都是很不错的。","","","2","","","158","","2018-08-09 00:36:20","2018-08-09 00:36:20"
"108","1","9","怎么","20350","21305","1","未识别，继续放音","","156","","2018-08-09 00:36:20","2018-08-09 00:36:20"
"109","1","9","挂了，挂了，挂了","26090","27425","1","检测到关键词：挂了，命中分支：拒绝","","158","4","2018-08-09 00:36:20","2018-08-09 00:36:20"
"110","1","9","这样啊，那我待会给您发条短信，把楼盘信息发给您，如果后续有兴趣可以直接联系我，那就先不打扰了，祝您生活愉快，再见","","","2","","","160","","2018-08-09 00:36:20","2018-08-09 00:36:20"
"111","1","9","这","29640","31435","1","用户说的话: 这 为噪音，已经被过滤","","158","","2018-08-09 00:36:20","2018-08-09 00:36:20"
"112","1","9","啊","39590","40500","1","用户说的话: 啊 为噪音，已经被过滤","","158","","2018-08-09 00:36:20","2018-08-09 00:36:20"
"113","1","10","喂，您好, （停顿2s），您好，想问下您位于钱塘江边、奥体中心附近，均价只要20000的现房楼盘，有兴趣了解一下吗？","","","2","","","156","","2018-08-09 00:36:44","2018-08-09 00:36:44"
